"Country","Region","meanGDP","meanSocialSupport","meanGenerosity","meanCorruption","meanLifeExpectancy","meanFreedom"
"Afghanistan","Southern Asia",0.401784133459282,0.300649645672234,0.21061070582238,0.038336701882441,0.244323538730723,0.0737024400609731
"Albania","Central and Eastern Europe",1.00585197503937,0.722517395112263,0.164557588661628,0.0366706876249802,0.76872617195586,0.415429315726902
"Algeria","Middle East and Northern Africa",1.0397088084584,1.03112888105009,0.0893764576247411,0.141210845542992,0.658212899343517,0.155141200864938
"Angola","Sub-Saharan Africa",0.798379545054436,0.938367989912033,0.105269122502208,0.0715700838261843,0.133902166408896,0.0274325
"Argentina","Latin America and Caribbean",1.16720513645104,1.26366810477152,0.0852446914618369,0.0667443683392982,0.745281348566303,0.503492443862661
"Armenia","Central and Eastern Europe",0.929241143232704,0.883367576722427,0.0815242287283049,0.0883065756880175,0.689763961997929,0.319527384419967
"Australia","Australia and New Zealand",1.454727671014,1.35014727751665,0.369295357872854,0.320857518670481,0.89603180958247,0.62126182191219
"Austria","Western Europe",1.46649910016702,1.3105324860569,0.265689010718592,0.246694563054808,0.871916493401066,0.593876883446899
"Azerbaijan","Central and Eastern Europe",1.10518680832908,1.03417041202541,0.0439715692845898,0.217885586013109,0.616299979113678,0.437182570281389
"Bahrain","Middle East and Northern Africa",1.43901306412615,1.18258052140438,0.218526524729197,0.184307428321365,0.719011175838264,0.56997710264439
"Bangladesh","Southern Asia",0.608892406661526,0.649310290196259,0.169692558642434,0.148746720923425,0.59458894256926,0.527558403176548
"Belarus","Central and Eastern Europe",1.14124400737088,1.28023806702236,0.0999938211384488,0.186548907084174,0.67942785459713,0.308305766234871
"Belgium","Western Europe",1.44285419097063,1.28626753579553,0.166046187077711,0.223618397883171,0.861281627294281,0.521827017923653
"Belize","Latin America and Caribbean",0.863711772015889,0.956322599665323,0.219951880284945,0.0977636905384063,0.459960588674545,0.550939790744781
"Benin","Sub-Saharan Africa",0.46112126396674,0.272097284943716,0.177502361146871,0.111346361159852,0.279421645413202,0.429846583243208
"Bhutan","Southern Asia",0.823507277702332,1.20168730288696,0.434698909032822,0.165486077961922,0.53970785849762,0.498467536125183
"Bolivia","Latin America and Caribbean",0.833160363630958,1.03502120074166,0.164284474841908,0.068110045395185,0.549996989187534,0.570118428355694
"Bosnia and Herzegovina","Central and Eastern Europe",1.00335810970366,1.0141440579375,0.265480342382496,0.002555310875,0.737948061803783,0.254041114737966
"Botswana","Sub-Saharan Africa",1.10843164391974,1.02021872307289,0.0584519919021144,0.101849945885476,0.350767155297066,0.50901571786644
"Brazil","Latin America and Caribbean",1.07610163543115,1.24600251519053,0.134940560330354,0.119935170644868,0.669605176988159,0.469810809474457
"Bulgaria","Central and Eastern Europe",1.16065422166569,1.27156479705343,0.107143925922535,0.00811519136872142,0.710068072181782,0.369013972948315
"Burkina Faso","Sub-Saharan Africa",0.377345669698113,0.830635738181877,0.20228191169772,0.123673270123265,0.268237266708255,0.338174500877363
"Burundi","Sub-Saharan Africa",0.044604652666705,0.402808407906682,0.184143852942567,0.137020681863775,0.215464803811885,0.154285687457151
"Cambodia","Southeastern Asia",0.613477504273449,0.858065546916435,0.28628063117345,0.068791681618947,0.50984596723418,0.663287021437222
"Cameroon","Sub-Saharan Africa",0.5763416763857,0.798479333624268,0.199287319723508,0.0546025066770103,0.219135208738032,0.430885153830723
"Canada","North America",1.44691150990938,1.32555636179926,0.336564830305328,0.322991671528465,0.888286199684181,0.625724879886764
"Central African Republic","Sub-Saharan Africa",0.0339144164,0,0.245147940898703,0.0481439588225494,0.0401525371800661,0.316489301709116
"Chad","Sub-Saharan Africa",0.391171309546907,0.70217176876928,0.196681117309295,0.0675684112835238,0.101027351885033,0.192127974478715
"Chile","Latin America and Caribbean",1.22682838784933,1.17045648060527,0.224852677778313,0.0805421665132761,0.8175175664879,0.412448438211531
"China","Eastern Asia",1.07207740031973,1.00543476073506,0.0647834856251143,0.0821637285766576,0.777856754455109,0.555185353130507
"Colombia","Latin America and Caribbean",1.04621950436794,1.20531298708355,0.120832320870178,0.0513383889815056,0.687926009072998,0.510798431759413
"Comoros","Sub-Saharan Africa",0.431795129,0.619865467666667,0.221108046,0.1312364225,0.384723887333333,0.182219705333333
"Congo (Brazzaville)","Sub-Saharan Africa",0.71441637468399,0.642196296752731,0.119089767583905,0.106584864700566,0.356711069742372,0.414197533225002
"Congo (Kinshasa)","Sub-Saharan Africa",0.062366636134079,1.02183974592892,0.235450119385975,0.0639513335820071,0.21927984647673,0.260609054636396
"Costa Rica","Latin America and Caribbean",1.10967299932696,1.24633215777969,0.163422442504541,0.098346085187017,0.820859325177853,0.616894924121376
"Croatia","Central and Eastern Europe",1.22832631492576,1.04157223505388,0.13247274439739,0.0225935145056493,0.769769262411228,0.349891146826748
"Cyprus","Western Europe",1.34742968837162,0.996085503583366,0.222203329383896,0.0506481400502555,0.901774912271961,0.407160926420483
